x,t,n
0.610091743,0.703703704,1090
0.99,0.598214286,694
0.842456609,0.667315175,749
0.597278912,0.721534653,735
0.913559322,0.605140187,590
0.171875,0.630094044,768
0.110040161,0.675308642,1245
0.240464345,0.8630394,603
0.128333333,0.8105939,600
0.288848263,0.721868365,547
0.567057624,0.673672566,1961
0.114243323,0.611018364,674
0.138169257,0.662288931,579
0.188566243,0.39738535,5510
0.179149798,0.359817091,4940
0.76022972,0.379857256,2786
0.171003717,0.633302152,4035
0.122137405,0.706140351,524
0.256119674,0.641654642,2206
0.264270613,0.696796339,946
0,0,0
0.75,0.642857143,16
0,0,0
0,0,0
0,0,0
